iter	Passed	Remaining
788	50184	13420
789	50243	13355
790	50301	13290
791	50356	13225
792	50414	13159
793	50472	13094
794	50532	13030
795	50589	12965
796	50648	12900
797	50708	12836
798	50766	12771
799	50824	12706
800	50891	12643
801	50954	12579
802	51012	12514
803	51071	12450
804	51129	12385
805	51187	12320
806	51244	12255
807	51301	12190
808	51359	12125
809	51417	12060
810	51476	11996
811	51534	11931
812	51593	11867
813	51650	11802
814	51711	11738
815	51769	11673
816	51828	11608
817	51913	11550
818	52018	11496
819	52068	11429
820	52116	11362
821	52163	11295
822	52213	11229
823	52261	11162
824	52309	11096
825	52357	11029
826	52407	10963
827	52455	10896
828	52503	10830
829	52550	10763
830	52599	10697
831	52649	10631
832	52698	10565
833	52748	10499
834	52797	10433
835	52848	10367
836	52905	10302
837	52957	10237
838	53012	10172
839	53064	10107
840	53118	10042
841	53173	9977
842	53227	9913
843	53280	9847
844	53336	9783
845	53390	9718
846	53443	9653
847	53496	9588
848	53551	9524
849	53605	9459
850	53657	9394
851	53709	9329
852	53760	9264
853	53816	9200
854	53879	9137
855	53933	9072
856	53984	9007
857	54034	8942
858	54090	8878
859	54142	8813
860	54194	8749
861	54246	8684
862	54299	8620
863	54350	8555
864	54402	8490
865	54453	8425
866	54506	8361
867	54559	8297
868	54616	8233
869	54678	8170
870	54735	8106
871	54789	8042
872	54843	7978
873	54897	7914
874	54947	7849
875	54996	7784
876	55046	7720
877	55096	7655
878	55146	7591
879	55195	7526
880	55246	7462
881	55295	7397
882	55347	7333
883	55396	7269
884	55446	7204
885	55496	7140
886	55545	7076
887	55595	7012
888	55644	6947
889	55693	6883
890	55743	6819
891	55793	6755
892	55848	6691
893	55906	6628
894	55960	6565
895	56023	6502
896	56076	6439
897	56129	6375
898	56183	6312
899	56237	6248
900	56290	6185
901	56342	6121
902	56395	6058
903	56449	5994
904	56503	5931
905	56557	5868
906	56610	5804
907	56665	5741
908	56721	5678
909	56773	5614
910	56828	5551
911	56891	5489
912	56947	5426
913	57000	5363
914	57055	5300
915	57110	5237
916	57167	5174
917	57221	5111
918	57276	5048
919	57331	4985
920	57388	4922
921	57442	4859
922	57497	4796
923	57553	4733
924	57610	4671
925	57663	4608
926	57722	4545
927	57775	4482
928	57834	4420
929	57898	4357
930	57953	4295
931	58010	4232
932	58066	4169
933	58120	4107
934	58174	4044
935	58230	3981
936	58286	3918
937	58341	3856
938	58397	3793
939	58481	3732
940	58560	3671
941	58631	3609
942	58702	3548
943	58774	3486
944	58849	3425
945	58924	3363
946	58996	3301
947	59068	3240
948	59185	3180
949	59305	3121
950	59423	3061
951	59515	3000
952	59582	2938
953	59649	2876
954	59718	2813
955	59787	2751
956	59860	2689
957	59936	2627
958	60004	2565
959	60070	2502
960	60141	2440
961	60209	2378
962	60278	2316
963	60368	2254
964	60487	2193
965	60562	2131
966	60635	2069
967	60704	2006
968	60775	1944
969	60852	1882
970	60931	1819
971	61000	1757
972	61074	1694
973	61145	1632
974	61215	1569
975	61288	1507
976	61366	1444
977	61437	1382
978	61511	1319
979	61582	1256
980	61656	1194
981	61729	1131
982	61803	1068
983	61885	1006
984	61956	943
985	62028	880
986	62097	817
987	62167	755
988	62240	692
989	62310	629
990	62380	566
991	62452	503
992	62522	440
993	62593	377
994	62667	314
995	62738	251
996	62810	188
997	62895	126
998	62966	63
999	63036	0
